Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units


C00019,THE HONGKONG AND SHANGHAI BANKING,HSBC WEALTH BUSINESS SERVICES 8/F TOWER 2 & 3 HSBC CENTRE 1 SHAM MONG ROAD KOWLOON,"825,397,011",21.39%
C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,SECURITIES SERVICES 15/F STANDARD CHARTERED TOWER 388 KWUN TONG ROAD KWUN TONG KOWLOON,"555,438,334",14.39%
C00100,"JPMORGAN CHASE BANK, NATIONAL",48/F ONE ISLAND EAST 18 WESTLANDS ROAD QUARRY BAY HONG KONG,"366,690,584",9.50%
C00010,CITIBANK N.A.,9/F CITI TOWER ONE BAY EAST 83 HOI BUN ROAD KWUN TONG KOWLOON,"282,395,652",7.32%
C00074,DEUTSCHE BANK AG,51/F-66/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"57,880,118",1.50%
B01161,UBS SECURITIES HONG KONG LTD,42/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"46,008,771",1.19%
C00033,BANK OF CHINA (HONG KONG) LTD,11/F BANK OF CHINA CENTRE OLYMPIAN CITY 11 HOI FAI ROAD WEST KOWLOON,"43,620,789",1.13%
C00093,BNP PARIBAS SECURITIES SERVICES,21/F PCCW TOWER TAIKOO PLACE 979 KING'S ROAD QUARRY BAY HONG KONG,"39,227,130",1.01%
B01284,HANG SENG SECURITIES LTD,16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"19,400,644",0.50%
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,68TH FLOOR CHEUNG KONG CENTER 2 QUEEN'S ROAD CENTRAL HONG KONG,"18,295,420",0.47%
C00018,HANG SENG BANK LTD,16/F HANG SENG 113 113 ARGYLE STREET MONGKOK KOWLOON,"16,875,234",0.43%
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,46/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"14,462,257",0.37%
C00003,THE BANK OF EAST ASIA LTD,35/F BEA TOWER MILLENNIUM CITY 5 418 KWUN TONG ROAD KWUN TONG KOWLOON,"13,254,815",0.34%
C00042,WING LUNG BANK LTD,RM 1207-1209 12/F WING LUNG BANK CENTRE 636 NATHAN ROAD KOWLOON,"11,882,665",0.30%
A00003,CHINA SECURITIES DEPOSITORY AND CLEARING,17 TAIPING QIAO STREET XICHENG DISTRICT BEIJING CHINA,"11,430,506",0.29%
B01130,BOCI SECURITIES LTD,22/F GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"9,893,712",0.25%
C00037,SHANGHAI COMMERCIAL BANK LTD,C/O SECURITIES PROCESSING CENTRE LEVEL 23 TOWER 2 KOWLOON COMMERCE CENTRE 51 KWAI CHEONG ROAD KWAI CHUNG NEW TERRITORIES,"9,260,851",0.24%
C00041,OCBC WING HANG BANK LTD,UNIT 1702 17/F EASTERN CENTRAL PLAZA 3 YIU HING ROAD SHAU KEI WAN HONG KONG,"9,100,340",0.23%
